,commit_befor ,commit_after,cal_smell,dispen_bf,object_bf,bloater_bf,dispen_at,object_at,bloater_af,open_time,closed_time,cal_time,changed_file,additions,deletions,dev,cal_time_binaly
0,12.0,1.0,-11.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,5.0,90 days 00:40:00,25.0,2277.0,153.0,1.0,0
1,3.0,3.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,12.0,688 days 02:51:00,92.0,1014.0,1024.0,1.0,0
2,3.0,0.0,-3.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,12.0,576 days 22:20:00,6.0,187.0,39.0,2.0,0
3,29.0,3.0,-26.0,3.0,2.0,22.0,0.0,0.0,0.0,1.0,1.0,0 days 08:32:00,74.0,7475.0,5180.0,1.0,1
4,26.0,2.0,-24.0,0.0,0.0,26.0,0.0,0.0,1.0,8.0,9.0,8 days 04:02:00,63.0,2447.0,2225.0,1.0,1
5,7.0,1.0,-6.0,5.0,1.0,1.0,1.0,0.0,0.0,4.0,10.0,186 days 00:57:00,3.0,475.0,60.0,1.0,0
6,4.0,0.0,-4.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,1 days 17:36:00,40.0,7184.0,0.0,2.0,1
7,14.0,0.0,-14.0,0.0,1.0,13.0,0.0,0.0,0.0,6.0,7.0,27 days 03:41:00,11.0,266.0,37.0,2.0,0
8,2.0,1.0,-1.0,0.0,1.0,1.0,1.0,0.0,0.0,12.0,12.0,4 days 18:48:00,7.0,112.0,25.0,1.0,1
9,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,10.0,21 days 02:54:00,120.0,2088.0,2332.0,1.0,0
10,5.0,0.0,-5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,55 days 19:03:00,11.0,634.0,140.0,1.0,0
11,13.0,0.0,-13.0,0.0,0.0,13.0,0.0,0.0,0.0,4.0,4.0,15 days 03:51:00,4.0,559.0,6.0,1.0,1
12,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,12.0,14 days 21:35:00,124.0,1325.0,1620.0,1.0,1
13,4.0,2.0,-2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,11.0,313 days 10:41:00,7.0,1563.0,1390.0,2.0,0
14,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0,3 days 13:53:00,288.0,5145.0,5142.0,1.0,1
15,6.0,37.0,31.0,6.0,0.0,0.0,1.0,2.0,34.0,5.0,5.0,0 days 05:13:00,6.0,187.0,39.0,1.0,1
16,0.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,52.0,10.0,10.0,17 days 03:37:00,2.0,91.0,0.0,1.0,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,8 days 14:45:00,78.0,348.0,252.0,1.0,1
18,8.0,0.0,-8.0,6.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,14 days 03:56:00,6.0,448.0,110.0,1.0,1
19,11.0,0.0,-11.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,1.0,6 days 22:45:00,9.0,295.0,227.0,1.0,1
20,2.0,0.0,-2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,39 days 04:13:00,10.0,139.0,55.0,1.0,0
21,7.0,0.0,-7.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,5.0,90 days 00:40:00,25.0,2277.0,153.0,1.0,0
22,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,18 days 18:45:00,12.0,536.0,136.0,1.0,0
23,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,6.0,455 days 08:35:00,15.0,605.0,234.0,1.0,0
24,2.0,15.0,13.0,2.0,0.0,0.0,0.0,0.0,14.0,7.0,8.0,6 days 04:49:00,3.0,146.0,135.0,1.0,1
25,11.0,10.0,-1.0,0.0,0.0,11.0,0.0,10.0,0.0,6.0,8.0,48 days 12:38:00,7.0,82.0,22.0,1.0,0
26,92.0,1.0,-91.0,0.0,0.0,91.0,1.0,0.0,0.0,7.0,7.0,4 days 20:05:00,65.0,3449.0,363.0,1.0,1
27,136.0,0.0,-136.0,0.0,0.0,136.0,0.0,0.0,0.0,4.0,5.0,8 days 15:50:00,270.0,906.0,448.0,1.0,1
28,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,11.0,33 days 02:44:00,49.0,746.0,97.0,1.0,0
29,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,16 days 06:59:00,13.0,275.0,7.0,1.0,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1
